word,definition
manobra," Exercício militar. Acto ou arte de dirigir convenientemente a andadura das embarcações. Faina de marinheiro; marinharia. Habilidade, destreza. Astúcia, ardil. Meio de iludir ou enganar. Prestidigitação. "
mantoux,NA
marcapasso,NA
martelo reflexo,NA
máscara cirúrgica,NA
mastectomia,NA
mastite, Designação genérica de inflamações nas mamas. 
mastócito,NA
mastologia, O mesmo que _mastozoologia_. 
mecanismo, Disposição das partes constitutivas de uma máquina. Maquinismo. Organização de um todo. 
mediastino, Espaço entre cada uma das pleuras e a coluna vertebral. 
medicação, Acto de medicar; tratamento terapêutico. 
medicamento," Substância, que se aplica externa ou internamente, para restabelecer a saúde; remédio. "
medula," Substância amarelada ou avermelhada, contida na cavidade dos ossos longos, nas cavidades celulares das extremidades desses ossos, no díploe dos ossos chatos. Miolo, contido no caule das plantas dicotiledóneas. _Espinhal medula_, substância, que ocupa o canal formado pelos arcos das vértebras e que forma o encéfalo. "
medula óssea,NA
megacólon,NA
melanina, O mesmo que _melaína_. 
melanoma, Tumor pigmentoso. 
membrana," Tecido orgânico, mais ou menos laminoso, que envolve certos órgãos ou segrega certos líquidos. Película, que reveste certos órgãos vegetais. Película. "
menarca,NA
meninge,NA
meningioma,NA
meningite," Inflamação das meninges, especialmente de aracnoide. "
menisco, Vidro lenticular. Superfície curva de um líquido contido num tubo capilar. Figura geométrica com um lado convexo e outro côncavo. 
menopausa, Cessação do catamênio ou das regras; idade critica da mulher. 
menstruação,NA
mental, Relativo à mente; intelectual. Espiritual: _oração mental_. 
mesa cirúrgica,NA
mesentério," Membrana, em que estão suspensos os intestinos, e que lhes dá mobilidade. "
metabolismo, Mudança da natureza molecular dos corpos. 
metabolito,NA
metacarpo," Parte da mão, entre o carpo e os dedos. "
metaplasia,NA
metástase," Figura de retórica, em que um orador lança à conta de outrem as coisas a que ele se refere. Alteração de uma doença, quanto à forma ou quanto à sede. "
metemoglobina,NA
método," Conjunto de processos racionais, para fazer qualquer coisa ou obter qualquer fim teórico ou prático. Modo de proceder. Classificação de diversos seres, segundo os caracteres que os aproximam. Tratado elementar. "
metrorragia, Hemorragia do útero. 
micção, Acto de urinar. 
micose," Saliência esponjosa, em forma de cogumelo. Princípio açucarado da cravagem do centeio. "
microbiologia, Estudo ou tratado dos micróbios. (Cp. _microbiólogo_) 
microbioma,NA
microcirculação,NA
microscopia, Arte de usar o microscópio. Conjunto dos estudos microscópicos. 
microscópio," Instrumento, para amplificar e representar próximos os objectos que por ele se observam. "
mielina," Substância medular, contida nos tubos nervosos. "
mielografia,NA
mielograma,NA
mielopatia, Afecção da medula-espinhal. 
migração," Acto de passar de um país para outro, (falando-se de um povo ou de uma grande multidão de gente). Viagens periódicas ou irregulares, feitas por certas espécies de animais. "
miliar," Que tem forma de grão de milho. Que tem pequenas dimensões, (falando-se de um animal). "
mineral," Qualquer substância inorgânica, que se encontra no interior ou na superfície da terra, como metais, pedras, combustíveis. "
miocardite, Inflamação da substância muscular do coração. 
mioma," Tumor, formado principalmente de tecido muscular. "
miosite, Inflamação dos músculos. 
miscigenação,NA
mitocôndria,NA
mitose,NA
modalidade, Modo de ser. Restrição de certas proposições. 
modelagem, O mesmo que _modelação_. 
modulação, Acto ou efeito de modular. 
mola hidatiforme,NA
molécula," Pequenina parte de um corpo. A mais pequena parte de um corpo, a qual pode existir em liberdade. "
monitor de sinais vitais,NA
monitorização,NA
monocitose,NA
mononucleose,NA
morbidade,NA
mortalidade, Qualidade do que é mortal. Obituário. 
motilidade, Faculdade de mover. Força motriz. 
mucopolissacarídeo,NA
mucosa," Membrana, que segrega muco. "
mudança, Acto ou efeito de mudar. 
mulher,NA
multiplicação," Acto ou efeito de multiplicar. Reprodução: _a multiplicação da espécie humana_. Operação aritmética, em que um número chamado _multiplicando_, se repete tantas vezes quantas são as unidades de outro, chamado _multiplicador_. "
murmúrio vesicular,NA
músculo," Órgão carnudo, formado pela reunião de muitas fibras, e que serve para operar movimentos, sob a influência da vontade ou de uma excitação orgânica ou mecânica. "
mutação," Mudança, alteração e substituição. Volubilidade, inconstância. Mudança de cenário, nos teatros. "
mutiável,NA
nádegas,NA
narcolepsia," Tendência irresistível para o sono, manifestada como sintoma de algumas moléstias. "
narcose, O mesmo que _narcotismo_. 
nasal," Relativo ao nariz. Que está no nariz ou faz parte do nariz: _as fossas nasais_. Diz-se do som, da letra ou da sílaba, cuja emissão ou cuja pronúncia é modificada pelo nariz. Fanhoso. "
náusea," Enjoo ou ânsia, produzida pelo balanço da embarcação, no mar. "
necropsia, O mesmo que _autópsia_. 
necrose," Estado de um osso ou da parte de um osso, privada de vida. Doença dos vegetais, caracterizada por manchas negras, sob as quais tecidos se decompõem. "
nefrectomia, Extirpação total dos rins. 
nefrite,NA
nefrologia, Tratado acerca dos rins. 
nefropatia,NA
neonatal,NA
neonatologia,NA
neoplasia, O mesmo que _neoplastia_. Néoformação patológica. 
nervo," Cada um dos pequenos filamentos, que põem em comunicação o cérebro e a medula espinal com a circunferência do corpo, e que transmitem as sensações ao centro e as vontades à circunferência. Órgão de sensação e movimento nos animais. "
nervoso," Relativo a nervos. Que tem nervos. Que procede dos nervos ou tem a sua sede nos nervos. Enérgico; vigoroso. Excitado, exaltado. Que padece dos nervos. Que tem nervuras salientes. "
neuralgia," Doença, caracterizada por dor viva no trajecto de um nervo e das suas ramificações, sem alteração aparente da parte dolorida. "
neurite, Inflamação de um nervo. 
neuroblastoma,NA
neurocirurgia,NA
neurologia," Parte da Anatomia, que se ocupa do sistema nervoso. "
neurônio,NA
neuropatia," Doença, caracterizada por perturbação das funções orgânicas, sem lesão aparente e que se supõe ter a sua sede no sistema nervoso. (Cp. _neuropata_) "
neurose, Qualquer doença nervosa. Neuropatia. 
neurotransmissor,NA
neutrofilia,NA
nictúria,NA
nidação,NA
nistagmo," Oscilação do globo do olho, em torno ao seu eixo horizontal ou vertical. "
nitrogênio," Nome, que se propôs para designar o azoto. "
nível," Instrumento, para verificar se um plano está horizontal. Horizontalidade. "
nódulo, Pequeno nó. 
nomenclatura, Conjunto dos vocábulos de um dicionário. Conjunto de termos peculiares a uma arte ou ciência. Método para classificar os objectos de uma ciência ou arte. Lista. 
norma," Regra, preceito, lei. Modelo. "
normal," Conforme à norma; exemplar. _Escola normal_, aquela, cujos alunos se preparam para o professorado. "
nosologia," Parte da Medicina, que descreve, define e estuda as doenças em todas as suas circunstâncias. "
notalgia," Dor na região dorsal, sem fenómenos inflamatórios. "
nucleotí,NA
nucleotídeo,NA
nulípara," Diz-se da fêmea, que nunca pariu. "
nutrição," Acto ou efeito de nutrir. Gordura. Assimilação dos alimentos. Acto de reforçar a energia dos medicamentos, por meio de certos ingredientes. "
nutriente, O mesmo que _nutritivo_. 
obesidade," Qualidade de obeso. Gordura excessiva de um indivíduo, com proemenência do ventre. "
obituário, Relativo a óbito. 
obstetrícia," Arte, que se ocupa dos partos. "
obstrução, Acto ou efeito de obstruir. Embaraço nos vasos ou canais de um corpo animado. Obturação. 
obturador, Que obtura; que serve para obturar. 
oclusão," Acto de fechar. Doença, em que se suspendem as evacuações fecais. Cerramento momentaneo de uma abertura natural. "
odontologia, O mesmo que _odontographia_. Tratado das doenças e higiene dos dentes. 
oftalmologia," Tratamento medicinal do olho. Parte da Medicina, que tem por objecto o estudo dos olhos e das doenças deles. "
oftalmoscopia, Arte de empregar o oftalmoscópio. (Cp. _oftalmoscópio_) 
oftalmoscópio," Instrumento, para examinar a parte interior do olho. "
oligodendrócito,NA
oligomenorreia,NA
oligúria,NA
ombro, A parte mais alta do braço humano. Espádua. 
omia,NA
oncogênese,NA
oncologia, Estudo dos tumores. 
ondas de choque,NA
ooforectomia, Ablação do ovário. 
opióide,NA
oral," Relativo à boca. Que é articulado ou pronunciado, (em oposição a _escrito_): _linguagem oral_. "
orquiectomia,NA
ortopedia, Arte de prevenir ou corrigir as deformidades do corpo. 
ortopneia," Dificuldade de respirar, que obriga a estar em pé; asma. "
osso," Parte dura e sólida, que forma o arcaboiço do corpo dos animais vertebrados. Fragmento ou parte desse arcaboiço. "
osteíte, Inflamação do tecido ósseo. 
osteoartrite,NA
osteoblasto,NA
osteoclasto,NA
osteogênese, Formação dos ossos. 
osteologia," Parte da Anatomia, que trata dos ossos. "
osteomalacia,NA
osteopatia," Doença dos ossos, em geral. "
osteoporose, Aumento anormal da porosidade dos ossos. 
ostomia,NA
otite, Inflamação da membrana mucosa do ouvido. 
otorrinolaringologia,NA
otorrinolaringologista,NA
otososcópio,NA
ovário," Órgão dos animais ovíparos, destinado à produção dos ovos. Cada um dos dois corpos laterais do útero, que na fêmea dos mamíferos contém os ovos destinados à fecundação. "
ovulação, Saída do óvulo. 
oxidação, Acto de oxidar. Oxigenação. 
oxigenação, Acto ou efeito de oxigenar. 
oxigênio," Gás simples, que faz parte da atmosfera e que sustenta a respiração e a combustão. "
oxigenoterapia,NA
oximetria," Processo, para avaliar a quantidade de ácido livre ou de sal ácido, contido numa substância qualquer. "
pacemaker,NA
paciente," Pessoa, que tem paciência. Pessoa, que padece ou vai padecer. Doente. O que recebe a acção de um agente. "
paladar, Parte superior da cavidade bucal. 
paliativo, Que serve para paliar. 
palpação, O mesmo que _apalpadela_. 
palpitação, Acto de palpitar. 
pancreatite, Inflamação do pâncreas. 
pandemia," Doença que, ao mesmo tempo, ataca muitos indivíduos na mesma localidade. "
papel de ecg,NA
papila," Pequena saliência cónica, na superfície da pele ou das mucosas, formada de ramificações nervosas ou vasculares. Protuberância cónica, em diversos órgãos vegetais. "
papiloma," Variedade de epithelioma, caracterizada pelo aumento do volume nas papilas de pele ou da mucosa. "
paracentese," Qualquer operação, com que se faz evacuar um líquido, acumulado numa parte do corpo. "
paralisia," Privação ou diminuição de sensibilidade e movimento voluntário, ou só de uma destas coisas. "
paramédico,NA
paraparesia,NA
paraplegia, Paralisia dos membros inferiores. 
parasitologia, Estudo científico do parasito. 
parenteral,NA
paresia," Paralisia incompleta, isto é, paralisia de nervo ou músculo que não perdeu inteiramente a sensibilidade e o movimento. "
parestesia," Desordem na sensibilidade, caracterizada por sensações anormais e alucinações sensoriais. "
parto, Acto de parir. 
patela," Género de moluscos gasterópodes. Rótula do joelho. Disco de ferro, marcado com pontos, e usado num jogo popular para se atirar ao meco. Nome desse jogo. "
patogênese, O mesmo que _patogenia_. 
patogênico, Relativo à patogenia. 
patologia," Ciência, que trata da origem, sintomas e natureza das doenças. "
pediatria, Medicina das crianças. 
pelagra," Doença, que principia por certos sintomas na pele, seguidos de graves alterações na membrana mucosa do canal digestivo, a que sucedem perturbações do sistema nervoso e a morte. "
pele," Membrana espessa, que envolve e cobre exteriormente todas as partes do corpo humano, bem como do corpo dos animais vertebrados e de muitos animais sem vértebras. Epiderme. Casca dos frutos e legumes. Parte da pele, flácida e pendente. Parte coriácea da carne comestível. Coiro dos animais, separado do corpo. "
pélvis, O mesmo que _pelve_. 
penetração, Acto ou efeito de penetrar. 
pênfigo," Bolhas na pele dos animais, contendo líquido seroso. "
péptido,NA
percepção, Acto ou efeito de perceber. 
perda, Acto de perder. Desaparecimento. 
perfusão,NA
pericardiocentese,NA
pericardite, Inflamação do pericárdio. 
perimetria, Medida do perímetro. 
perinatal,NA
periódico, Relativo a período. Que se repete em determinados tempos. Que em certas horas ou em certos dias manifesta certos fenómenos ou sintomas. Intermitente: _febres periodicas_. 
peristalse,NA
peristaltismo,NA
peritonite, Inflamação do peritoneu. 
permeabilidade, Qualidade do que é permeável. 
pernas,NA
pescoço," Parte do corpo, entre a cabeça e o tronco. Garganta, colo. Cachaço. "
peso,NA
pesquisa clínica,NA
petéquia,NA
ph,NA
pielografia,NA
piloro, Orifício inferior do estômago. 
pinça," Pequena tenaz. Barra de ferro, em forma de S, destinada a serviço de bomba, a bordo. Parte infero-interior do casco do cavalo; parte da ferradura, que corresponde a essa parte do casco. (Cast. _pinza_) "
pinça clínica odontológica,NA
pinça kelly,NA
pinça mosquito,NA
placa de petri,NA
placebo,NA
plasma," A parte líquida do sangue, em que nadam os glóbulos microscópicos. "
plasmídeo,NA
plastia,NA
pleura," Nome de duas membranas serosas, cada uma das quais reveste interiormente um dos lados do peito, reflectindo-se sobre os pulmões. "
pleurisia, Inflamação da pleura. 
pneumonia, Inflamação do parênquima do pulmão. 
pneumotórax," Pneumatose, no interior das pleuras. Cf. Macedo Pinto, _Comp. de Veter._, I, 107. "
podologia, Descrição do pé. 
poliomielite," Mielite, que assenta principalmente na substância cinzenta. "
polipose,NA
polissonografia,NA
pós-operatório,NA
postura," Posição do corpo. Disposição; aspecto físico. Artificios, enfeites, cosméticos, especialmente usados por algumas damas. Deliberação municipal escrita, que obriga os munícipes ao cumprimento de certos deveres de ordem pública. Os ovos, que uma galinha põe durante certo tempo. "
potássio," Metal branco, descoberto em 1807 e que, combinado com o oxigénio, dá a potassa pura. "
prebiótico,NA
precórdio, O mesmo que _diafragma_. 
predisposição, Acto de predispor ou de se predispor. Tendência; vocação. 
pré-eclâmpsia,NA
prematuro, O mesmo que _precoce_; temporão. 
pré-natal,NA
presbiopia, O mesmo que _presbitismo_. 
prescrição, Acto ou efeito de prescrever. Ordem expressa. Preceito; regra. 
probiótico,NA
procarioto,NA
proctologista,NA
profilaxia," Parte da Medicina, que tem por objecto as precauções contra certas enfermidades. "
progesterona,NA
prognóstico," Acto ou efeito de prognosticar. Conjectura. Parecer do médico, acerca do seguimento e resultado de uma doença. "
prolactina,NA
prolapso," Saída de um órgão ou de parte de um órgão, para fora do lugar normal: _prolapso do útero_. "
prostaglandina,NA
protease,NA
proteína c reativa,NA
proteoma,NA
protozoário," Diz-se dos animais, que têm a conformação mais rudimentar ou mais simples. "
proveta," Espécie de redoma pequena, para conter substâncias gasosas. Vaso cilíndrico ou cónico, convenientemente graduado, para medição de líquidos. "
prurido, Comichão. 
pseudociese,NA
psicossomático,NA
psiquiatria, Doutrina das doenças mentais e do tratamento delas. 
puberdade," Idade, em que os indivíduos se tornam aptos para a procriação. "
pulmão," Órgão, contido no peito, e com o qual se efetua a respiração; bofe. "
pulsação, Acto ou efeito de pulsar. 
púrpura," Substância corante, vermelho-escura, que se extraia dantes do múrice, substituido hoje pela cochinilha. Cor vermelha. Antigo tecido vermelho. Vestuário dos Reis. Dignidade real. Dignidade de alguns magistrados, que trajavam púrpura. Dignidade dos Cardeais, que usam vestes vermelhas. Espécie de moluscos. Doença, caracterizada por pequenas manchas purpúreas, produzidas por hemorragia sub-epidérmica. "
pustulose,NA
quadrante, Quarta parte da circunferência. Mostrador de relógio. 
quelóide,NA
queratina,NA
queratoplastia,NA
quimiotaxia," Acção atractiva ou repulsiva, exercida por certas substâncias sobre os microorganismos. "
r, Décima oitava letra do alfabeto português. Abrev. de _reprovação_. 
radiologia," Estudo científico dos raios luminosos, especialmente dos raios X. "
radioterapia, Tratamento terapêutico pelos raios X. 
raio x,NA
reabilitação, Acto ou efeito de reabilitar. Reaquisição de boa fama ou crédito. 
reabsorção, Acto ou efeito de reabsorver. 
reação em cadeia da polimerase,NA
receptor, Que recebe. 
recidiva, Recaída numa enfermidade. 
recipiente para objetos perfurocortantes,NA
reconstrução, Acto ou efeito de reconstruir. 
recuperação, Acto ou efeito de recuperar. 
refluxo vesicoureteral,NA
regeneração," Acto ou efeito de regenerar. Partido politico português, formado em 1851. "
regenerativo, Que pode regenerar. 
regulação, Acto ou efeito de regular. 
reidratação,NA
reimplante,NA
rejeição, Acto ou efeito de rejeitar. 
relaxamento, O mesmo que _relaxação_. 
relaxante muscular,NA
remédio," Aquilo que pode causar uma mudança salutar no organismo em geral ou num órgão especial. Aquilo que cura, ou a que se atribue a faculdade de curar. Expediente. Auxílio. Emenda. "
remissão, Acto ou efeito de remittir. Falta de rigor. Indulgência; perdão: _a remissão dos pecados_. Interrupção. Desânimo. Froixidão. Remessa. Decrescimento temporário dos sintomas de uma doença. Remittência. Diminuição de intensidade. 
renal, Relativo aos rins. 
renina,NA
reposição hormonal,NA
reprodução, Acto ou efeito de reproduzir. 
reserva ovariana,NA
resistência insulínica,NA
respiração, Acto ou efeito de respirar. Ambiente. Bafo. 
ressecção," Operação cirúrgica, que consiste em cortar uma parte, mais ou menos extensa, de um órgão. "
ressonância magnética,NA
restauração, Acto ou efeito de restaurar. Conserto; renovação: _restauração de um quadro_. Restabelecimento. Reacquisição da independencia nacional. Restabelecimento de uma dinastia. 
retenção, Acto ou efeito de reter. Demora; detenção. Reserva. Retentiva. Cárcere privado. Acumulação de substâncias nas cavidades orgânicas donde normalmente são expelidas: _retenção de urinas_. 
reticulócito,NA
retina," A mais interior membrana do olho, em que se formam as imagens, e que transmite a percepção ao cérebro por intermédio do nervo óptico. "
retinopatia,NA
retrovírus,NA
reumatismo," Dores, que têm a sua sede principal nos músculos e articulações, sem febre nem carácter inflamatório. "
reumatologia,NA
revascularização,NA
rinite, Inflamação da mucosa do nariz. 
rinoplastia," Operação cirúrgica, com que se substitue artificialmente o nariz ou parte do nariz. "
risco," O mesmo que [[risca:1]]. Delineamento, traçado: _fazer o risco de um edifício_. Debuxo. "
risco cirúrgico,NA
ritmo circadiano,NA
rodopsina,NA
ruptura, Acto ou efeito de romper. Interrupção. Violação de contrato ou acordo. Quebra ou corte de relações sociais. 
sacarose, O açúcar comum. 
salpingectomia,NA
sanatório," Estabelecimento ou residência, apropriada para doentes ou convalescentes. "
sangramento,NA
sanguíneo, Relativo ao sangue. Que tem cor de sangue. Em cujo temperamento predomina o sangue. Sanguinolento; sanguinário. 
sanitário, Relativo à saúde; relativo à higiene: _policia sanitária_. 
saponificação, Acto ou efeito de saponificar. 
sarcoma," Tumor ou excrescência mórbida, com a consistência da carne. "
saturação, Acto ou efeito de saturar. 
saúde," Estado do que é são, ou de quem tem as funções orgânicas no seu estado normal. Vigor. Boa ou má disposição no organismo de um indivíduo. Saudação, brinde, acto de se beber à mesa em homenagem ou lembrança afetuosa de alguém: _ao jantar, houve muitas saúdes_. "
secreção," Propriedade dos tecidos orgânicos, em virtude da qual saem da substância deles as moléculas interiores que, segundo a sua natureza, são expelidas ou reabsorvidas ou fixadas nas cavidades do organismo. Substância segregada. "
sedação, Acto de sedar. 
sedentarismo, Hábitos sedentários. 
segmentação, Acto de segmentar. 
seio carotídeo,NA
sêmen, Semente. Esperma. 
seminífero," Que tem sementes, ou que produz sémen. "
sensibilidade," Qualidade do que é sensível. Propriedade de certas partes do sistema nervoso, pela qual os homens e os animais percebem as impressões causadas por objectos exteriores, ou produzidas interiormente. Impressionabilidade; susceptibilidade. Precisão, com que certos instrumentos ou aparelhos indicam a menor diferença ou alteração. "
sensor de radiografia digital,NA
septicemia,NA
séptico, Que causa putrefacção. 
septoplastia,NA
sequenciamento,NA
seringa," Bomba portátil, que atrai e expele o ar e os líquidos, e que serve especialmente para introduzir líquidos nas cavidades interiores do corpo. "
serologia,NA
serotonina,NA
sialografia,NA
síndrome, O mesmo ou melhor que _síndroma_. 
sinovite, Inflamação das membranas sinoviais. 
sintoma," Fenómeno das funções ou da constituição material dos órgãos, próprio para indicar a natureza, existência ou sede de uma enfermidade. "
siringe,NA
sistema imunológico,NA
sístole," Estado do coração, em que as fibras musculares deste órgão estão contraidas. "
sítio cirúrgico,NA
situação," Acto ou efeito de situar. Sítio. Posição. Disposição recíproca das diferentes partes de um todo. Lugar, onde está uma coisa ou pessoa. Fase governamental ou ministerial. O Ministério ou Governo, relativamente à actualidade ou a uma dada época. Posição de um indivíduo, relativamente à sua profissão. Estado financeiro de um indivíduo ou de uma colectividade. Estado ou condição. Lance. Vicissitude; ocorrência. "
sobrecarga," Carga demasiada. Aquilo que se junta à carga. Aquilo que perturba o equilíbrio da carga. Espécie de cilha, com que se aperta a carga da besta. Marca, que as repartições postais põem nas estampilhas da correspondência. "
socorro," Acto ou efeito de socorrer; auxílio. Protecção, amparo. "
sódio," Corpo metálico, de que a soda é o óxido. "
somatostatina,NA
sonda,Forma afrancesada de _Sunda_. 
sonda exploradora odontológica,NA
sonda foley,NA
sonda nasogástrica,NA
sonolência," Sono imperfeito. Momento de transição, entre o estado de quem dorme e o acordar. Disposição para dormir; modorra. "
soro,NA
soro fisiológico,NA
sorologia,NA
soroterapia, O mesmo que _seroterapia_. 
soterramento, Acto ou efeito de soterrar^1. 
subcutâneo, Que está por baixo da cútis. 
sudorese,NA
suporte vital,NA
supuração, Acto ou efeito de supurar. 
susceptibilidade," Qualidade do que é susceptível. Disposição para sentir influências ou contrair enfermidades. Disposição para se melindrar facilmente; melindre.--Nesta última aceção, o t. é considerado galicismo inútil. "
sutura," Operação, que consiste em coser os lábios de uma ferida, para os juntar. Juntura. Costura. "
tálamo, Leito conjugal. 
tamponamento,NA
tendinite,NA
tensão arterial,NA
terapêutica," Parte da Medicina, que trata da escolha e administração dos meios de curar doenças, e da natureza dos remédios. Tratamento das doenças. "
termômetro clínico,NA
termoterapia, Emprego terapêutico do calor. 
tesoura cirúrgica,NA
tétano," Doença, caracterizada pela rigidez convulsiva dos músculos. "
tique, Contracção espasmódica dos músculos faciais. Neuralgia facial. 
tiras de teste de glicose,NA
tomografia,NA
toracocentese,NA
touca cirúrgica,NA
toxicologia," Ciência, que se ocupa dos tóxicos. "
toxina," Substância venenosa, segregada por bactérias. "
tracoma," Oftalmia, acompanhada de aspereza na parte interior das pálpebras. "
tráfego microvascular,NA
tranquilizante,NA
transfusão, Acto ou efeito de transfundir. 
transplante, O mesmo que _transplantação_. 
traqueostomia,NA
traumatologia,NA
tricomoníase,NA
triglicerídeos,NA
trombose," Coagulação do sangue em qualquer ponto do sistema circulatório, no corpo vivo. "
tuberculose," Disposição orgânica para a formação de tubérculos. Tísica, resultante da formação de tubérculos no pulmão. "
tubo de coleta de sangue,NA
tubo de ensaio,NA
tubo endotraqueal,NA
tumor," Saliência circunscrita, desenvolvida em qualquer parte do corpo. "
úlcera," Ferida ou chaga antiga, cuja cicatrização é pouco provável. Alteração do tecido lenhoso das árvores. "
ultrassom terapêutico,NA
ultrassonografia,NA
ureia, Um dos princípios imediatos da urina. (Cp. _urina_) 
ureter,NA
urologia," Tratado da urina, da sua constituição e das suas alterações mórbidas. "
vacinação, Acto ou efeito de vacinar. 
válvula," Valva pequena. Qualquer dobra membranosa que, nos vasos sanguíneos, obsta ao refluxo dos líquidos, gradua o curso do sangue, etc. Espécie de tampa, que fecha por si e hermeticamente um tubo. Placa metálica que, num orifício das máquinas de vapor, evita a explosão, cedendo ao impulso do vapor que superabunda. "
varicela," Doença infecciosa e contagiosa, ordinariamente benigna, caracterizada por uma erupção de pequenas bolhas, que secam ao cabo de alguns dias. "
vasculatura,NA
vasodilatação,NA
ventilador pulmonar,NA
ventrículo, Designação de certas cavidades de certos órgãos. Cada uma das duas cavidades inferiores do coração. Cada uma das cinco cavidades no âmago do cérebro. 
vertigem," Estado mórbido, em que ao indivíduo parece que todos os objectos giram em volta dele e que ele proprio gira. Tontura. Desmaio. "
vesícula biliar,NA
vírus," Princípio mórbido, inerente a certas doenças contagiosas: _o vírus da difteria_. Veneno de répteis. "
viscosidade," Qualidade do que é viscoso. Propriedade, pela qual as partículas de uma substância aderem reciprocamente. Coisa viscosa. "
vitamina,NA
vômito,NA
zoonose, Designação genérica das doenças dos animais. 
zoopsia,NA
zoster,NA
alergologia,NA
anestesiologia,NA
angiologia," Parte da Anatomia, que trata dos vasos. "
cardiologia, Tratado do coração. 
cirurgia cardiovascular,NA
cirurgia geral,NA
cirurgia plástica,NA
cirurgia torácica,NA
cirurgia vascular,NA
clínica médica,NA
coloproctologia,NA
dermatologia, Tratado da pele. 
endocrinologia,NA
endoscopia, Aplicação do endoscópio. 
gastroenterologia,NA
genética médica,NA
geriatria,NA
ginecologia e obstetrícia,NA
hematologia, Tratado teórico acerca do sangue. 
hepatologia, Tratado acerca do fígado. 
infectologia,NA
mastologia, O mesmo que _mastozoologia_. 
medicina de emergência,NA
medicina de família e comunidade,NA
medicina do trabalho,NA
medicina esportiva,NA
medicina física e reabilitação,NA
medicina intensiva,NA
medicina legal e perícia médica,NA
medicina nuclear,NA
medicina preventiva e social,NA
nefrologia, Tratado acerca dos rins. 
neonatologia,NA
neurocirurgia,NA
neurologia," Parte da Anatomia, que se ocupa do sistema nervoso. "
nutrologia,NA
oftalmologia," Tratamento medicinal do olho. Parte da Medicina, que tem por objecto o estudo dos olhos e das doenças deles. "
oncologia clínica,NA
ortopedia e traumatologia,NA
otorrinolaringologia,NA
patologia," Ciência, que trata da origem, sintomas e natureza das doenças. "
patologia clínica/medicina laboratorial,NA
pediatria, Medicina das crianças. 
pneumologia, Tratado acerca dos pulmões. 
psiquiatria, Doutrina das doenças mentais e do tratamento delas. 
radiologia e diagnóstico por imagem,NA
reumatologia,NA
urologia," Tratado da urina, da sua constituição e das suas alterações mórbidas. "
endodontia,NA
periodontia,NA
